Date	T	E0	N	S	U
2020-05-01	9.3	13.36	3.71	20	0.06708
2020-05-02	9.534	15.52	3.753	20	0.1014
2020-05-03	9.639	23.79	3.796	20	0.08199
2020-05-04	9.748	27.64	3.839	20	0.1361
2020-05-05	9.758	26.64	3.882	20	0.1569
2020-05-06	9.865	28.06	3.925	20	0.1597
2020-05-07	10.05	30.56	3.968	20	0.1547
2020-05-08	10.26	27.44	4.011	20	0.1489
2020-05-09	10.68	27.56	4.054	20	0.1291
2020-05-10	10.91	25.85	4.097	20	0.06011
2020-05-11	10.56	30.31	4.14	20	0.09563
2020-05-12	10.28	21.6	4.183	20	0.09775
2020-05-13	10.57	32.07	4.226	20	0.08626
2020-05-14	10.37	29.54	4.269	20	0.03413
2020-05-15	10.25	21.06	4.312	20	0.05636
2020-05-16	10.08	17.63	4.355	20	0.06559
2020-05-17	10.02	19.41	4.398	20	0.03913
2020-05-18	10.2	9.519	4.429	19.97	0.0709
2020-05-19	10.5	31.88	4.448	19.91	0.1102
2020-05-20	10.92	34.17	4.466	19.85	0.1465
2020-05-21	11.12	32.16	4.485	19.78	0.1615
2020-05-22	12.08	18.24	4.504	19.72	0.1472
2020-05-23	12.13	26.33	4.523	19.66	0.144
2020-05-24	11.12	13.84	4.541	19.6	0.1252
2020-05-25	10.76	26.36	4.56	19.53	0.08749
2020-05-26	11.84	32.08	4.579	19.47	0.06033
2020-05-27	11.69	28.44	4.598	19.41	0.02551
2020-05-28	11.78	33.31	4.616	19.35	0.0458
2020-05-29	12.75	35.4	4.635	19.28	0.04085
2020-05-30	13.27	38.26	4.654	19.22	0.05004
2020-05-31	14.15	36.43	4.673	19.16	0.07705
2020-06-01	14.32	37.83	4.691	19.1	0.09626
2020-06-02	14.03	33.54	4.71	19.03	0.1259

