Station	Date	Tmin	Tmax	Tavg	I
613500	12/08/2018	13.2	17.9	14.5	2.6
613500	13/08/2018	15.4	20.9	18	7.5
613500	14/08/2018	15.5	21.2	18.5	15
613500	15/08/2018	15.5	21.9	18.6	13.1
613500	16/08/2018	16	25.6	20.7	18.8
613500	17/08/2018	14	20.9	17.7	12
613500	18/08/2018	9.7	21.8	17	14.2
613500	19/08/2018	17.3	21	19.1	9.4
613500	20/08/2018	15	20.6	18.2	17.3
613500	21/08/2018	12.7	20.4	16.4	20.8
613500	22/08/2018	12.7	25.1	19.7	20.9
613500	23/08/2018	14	22.7	18.5	17.6
613500	24/08/2018	13.6	18.9	16.4	11
613500	25/08/2018	10.8	17.2	13.6	11
613500	26/08/2018	11.6	18.7	14.4	16.4
613500	27/08/2018	13	19.1	15.2	6.4
613500	28/08/2018	12.8	18.9	16	11
613500	29/08/2018	12.6	21.5	16.7	12.8
613500	30/08/2018	14.4	16.9	15.8	2.1
613500	31/08/2018	13.7	18.5	15.6	9.7
613500	01/09/2018	11.8	18.5	15.1	12.6
613500	02/09/2018	12	20.7	16.3	10.5
613500	03/09/2018	13.6	21.5	17.4	13.3
613500	04/09/2018	12.3	22.1	16.7	16.4
613500	05/09/2018	10.7	22	16.6	15.3
613500	06/09/2018	11.7	21.2	16.6	13.3
613500	07/09/2018	12.2	19.3	16.5	6.7
613500	08/09/2018	10.9	17.9	14	9
613500	09/09/2018	13.5	18.9	16.2	13.1
613500	10/09/2018	13.4	19.8	16.8	8.9
613500	11/09/2018	13.1	17.6	15.1	2.6
613500	12/09/2018	12.2	15.7	14	6.5
613500	13/09/2018	8	17.3	13.4	14.1
613500	14/09/2018	10.9	17.3	14.7	10.8
613500	15/09/2018	9.5	16.4	14.1	10.2
613500	16/09/2018	4.9	18	13	10.4
613500	17/09/2018	13.6	19.6	16.8	9.1
613500	18/09/2018	11.8	25.6	18.7	15.2
613500	19/09/2018	14.3	22.1	17.6	11.4
613500	20/09/2018	16	19.9	17.8	6.7
613500	21/09/2018	11.1	21.8	15.9	5.2
613500	22/09/2018	10.3	15.5	12.2	12
613500	23/09/2018	9.7	13.7	11.3	9.4
613500	24/09/2018	8.6	13.1	10.5	12.5
613500	25/09/2018	7.5	13.7	10.6	13.6
