ScreenName	Uinsulation
LS_Harmony_5045	1.6
LS_Harmony_5045	3.2
LS_Harmony_5045	6.4
LS_Harmony_5045	12.8
LS_Harmony_5045	25.6
LS_Harmony_5020_O_E_A_FR	0.05
LS_Harmony_5020_O_E_A_FR	0.1
LS_Harmony_5020_O_E_A_FR	0.2
LS_Harmony_5020_O_E_A_FR	0.4
LS_Harmony_5020_O_E_A_FR	0.8
LS_Harmony_5020_O_E_A_FR	1.6
LS_Harmony_5020_O_E_A_FR	3.2
LS_Harmony_5020_O_E_A_FR	6.4
LS_Harmony_5020_O_E_A_FR	12.8
LS_Harmony_5020_O_E_A_FR	25.6
LS_Harmony_4945_R_FR	0.05
LS_Harmony_4945_R_FR	0.1
LS_Harmony_4945_R_FR	0.2
LS_Harmony_4945_R_FR	0.4
LS_Harmony_4945_R_FR	0.8
LS_Harmony_4945_R_FR	1.6
LS_Harmony_4945_R_FR	3.2
LS_Harmony_4945_R_FR	6.4
LS_Harmony_4945_R_FR	12.8
LS_Harmony_4945_R_FR	25.6
LS_Harmony_4820_O	0.05
LS_Harmony_4820_O	0.1
LS_Harmony_4820_O	0.2
LS_Harmony_4820_O	0.4
LS_Harmony_4820_O	0.8
LS_Harmony_4820_O	1.6
LS_Harmony_4820_O	3.2
LS_Harmony_4820_O	6.4
LS_Harmony_4820_O	12.8
LS_Harmony_4820_O	25.6
LS_Harmony_4520_O_FR	0.05
LS_Harmony_4520_O_FR	0.1
LS_Harmony_4520_O_FR	0.2
LS_Harmony_4520_O_FR	0.4
LS_Harmony_4520_O_FR	0.8
LS_Harmony_4520_O_FR	1.6
LS_Harmony_4520_O_FR	3.2
LS_Harmony_4520_O_FR	6.4
LS_Harmony_4520_O_FR	12.8
LS_Harmony_4520_O_FR	25.6
LS_Harmony_4515_O_FR	0.05
LS_Harmony_4515_O_FR	0.1
LS_Harmony_4515_O_FR	0.2
LS_Harmony_4515_O_FR	0.4
LS_Harmony_4515_O_FR	0.8
LS_Harmony_4515_O_FR	1.6
LS_Harmony_4515_O_FR	3.2
LS_Harmony_4515_O_FR	6.4
LS_Harmony_4515_O_FR	12.8
LS_Harmony_4515_O_FR	25.6
LS_Harmony_4145	0.05
LS_Harmony_4145	0.1
LS_Harmony_4145	0.2
LS_Harmony_4145	0.4
LS_Harmony_4145	0.8
LS_Harmony_4145	1.6
LS_Harmony_4145	3.2
LS_Harmony_4145	6.4
LS_Harmony_4145	12.8
LS_Harmony_4145	25.6
LS_Harmony_4115_O_E_FR	0.05
LS_Harmony_4115_O_E_FR	0.1
LS_Harmony_4115_O_E_FR	0.2
LS_Harmony_4115_O_E_FR	0.4
LS_Harmony_4115_O_E_FR	0.8
LS_Harmony_4115_O_E_FR	1.6
LS_Harmony_4115_O_E_FR	3.2
LS_Harmony_4115_O_E_FR	6.4
LS_Harmony_4115_O_E_FR	12.8
LS_Harmony_4115_O_E_FR	25.6
LS_Harmony_4047_FR	0.05
LS_Harmony_4047_FR	0.1
LS_Harmony_4047_FR	0.2
LS_Harmony_4047_FR	0.4
LS_Harmony_4047_FR	0.8
LS_Harmony_4047_FR	1.6
LS_Harmony_4047_FR	3.2
LS_Harmony_4047_FR	6.4
LS_Harmony_4047_FR	12.8
LS_Harmony_4047_FR	25.6
LS_Harmony_3647_FR	0.05
LS_Harmony_3647_FR	0.1
LS_Harmony_3647_FR	0.2
LS_Harmony_3647_FR	0.4
LS_Harmony_3647_FR	0.8
LS_Harmony_3647_FR	1.6
LS_Harmony_3647_FR	3.2
LS_Harmony_3647_FR	6.4
LS_Harmony_3647_FR	12.8
LS_Harmony_3647_FR	25.6
LS_Harmony_3315_O_FR	0.05
LS_Harmony_3315_O_FR	0.1
LS_Harmony_3315_O_FR	0.2
LS_Harmony_3315_O_FR	0.4
LS_Harmony_3315_O_FR	0.8
LS_Harmony_3315_O_FR	1.6
LS_Harmony_3315_O_FR	3.2
LS_Harmony_3315_O_FR	6.4
LS_Harmony_3315_O_FR	12.8
LS_Harmony_3315_O_FR	25.6
LS_Harmony_3045	0.05
LS_Harmony_3045	0.1
LS_Harmony_3045	0.2
LS_Harmony_3045	0.4
LS_Harmony_3045	0.8
LS_Harmony_3045	1.6
LS_Harmony_3045	3.2
LS_Harmony_3045	6.4
LS_Harmony_3045	12.8
LS_Harmony_3045	25.6
LS_Harmony_3015_O	0.05
LS_Harmony_3015_O	0.1
LS_Harmony_3015_O	0.2
LS_Harmony_3015_O	0.4
LS_Harmony_3015_O	0.8
LS_Harmony_3015_O	1.6
LS_Harmony_3015_O	3.2
LS_Harmony_3015_O	6.4
LS_Harmony_3015_O	12.8
LS_Harmony_3015_O	25.6
LS_7965_FR_AW	0.05
LS_7965_FR_AW	0.1
LS_7965_FR_AW	0.2
LS_7965_FR_AW	0.4
LS_7965_FR_AW	0.8
LS_7965_FR_AW	1.6
LS_7965_FR_AW	3.2
LS_7965_FR_AW	6.4
LS_7965_FR_AW	12.8
LS_7965_FR_AW	25.6
LS_7265_D_AW	0.05
LS_7265_D_AW	0.1
LS_7265_D_AW	0.2
LS_7265_D_AW	0.4
LS_7265_D_AW	0.8
LS_7265_D_AW	1.6
LS_7265_D_AW	3.2
LS_7265_D_AW	6.4
LS_7265_D_AW	12.8
LS_7265_D_AW	25.6
Bonar_Phormitex_Bright	0.05
Bonar_Phormitex_Bright	0.1
Bonar_Phormitex_Bright	0.2
Bonar_Phormitex_Bright	0.4
Bonar_Phormitex_Bright	0.8
Bonar_Phormitex_Bright	1.6
Bonar_Phormitex_Bright	3.2
Bonar_Phormitex_Bright	6.4
Bonar_Phormitex_Bright	12.8
Bonar_Phormitex_Bright	25.6
Bonar_PhormiTex_66_B1	0.05
Bonar_PhormiTex_66_B1	0.1
Bonar_PhormiTex_66_B1	0.2
Bonar_PhormiTex_66_B1	0.4
Bonar_PhormiTex_66_B1	0.8
Bonar_PhormiTex_66_B1	1.6
Bonar_PhormiTex_66_B1	3.2
Bonar_PhormiTex_66_B1	6.4
Bonar_PhormiTex_66_B1	12.8
Bonar_PhormiTex_66_B1	25.6
Bonar_PhormiTex_55_B1	0.05
Bonar_PhormiTex_55_B1	0.1
Bonar_PhormiTex_55_B1	0.2
Bonar_PhormiTex_55_B1	0.4
Bonar_PhormiTex_55_B1	0.8
Bonar_PhormiTex_55_B1	1.6
Bonar_PhormiTex_55_B1	3.2
Bonar_PhormiTex_55_B1	6.4
Bonar_PhormiTex_55_B1	12.8
Bonar_PhormiTex_55_B1	25.6
