ScreenName	Uinsulation	heatingCost	lampCost	co2Cost	transpiration	condensation	ventedWater	screen1	screen2	screen3	light1	light2	light3	energySaving	iteration	step
character	character	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LS_Tempa_7265_D_R_AW	25.6	0.895364	0.645076	22.7759	1662.68	-694.272	-884.671	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	61	175200
LS_Tempa_6965_FR_AW	0.05	0.516151	0.645076	29.7181	1826.47	-692.269	-1057.33	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	62	175200
LS_Tempa_6965_FR_AW	0.1	0.519228	0.645076	29.5141	1824.36	-694.049	-1053.29	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	63	175200
LS_Tempa_6965_FR_AW	0.2	0.525347	0.645076	29.1772	1820.42	-697.16	-1045.98	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	64	175200
LS_Tempa_6965_FR_AW	0.4	0.536936	0.645076	28.5775	1813.46	-702.903	-1032.92	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	65	175200
LS_Tempa_6965_FR_AW	0.8	0.55817	0.645076	27.6421	1802.12	-712.088	-1011.78	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	66	175200
LS_Tempa_6965_FR_AW	1.6	0.594517	0.645076	26.34	1780.76	-720.729	-980.7	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	67	175200
LS_Tempa_6965_FR_AW	3.2	0.651594	0.645076	24.9411	1745.29	-719.433	-945.208	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	68	175200
LS_Tempa_6965_FR_AW	6.4	0.721109	0.645076	23.7847	1709.36	-713.68	-913.695	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	69	175200
LS_Tempa_6965_FR_AW	12.8	0.790946	0.645076	23.1682	1685.7	-705.969	-896.881	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	70	175200
LS_Tempa_6965_FR_AW	25.6	0.849477	0.645076	23.0348	1676.4	-698.274	-894.764	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.65	71	175200
LS_Tempa_6562_D	0.05	0.547181	0.645076	27.1285	1773.39	-712.185	-983.217	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	72	175200
LS_Tempa_6562_D	0.1	0.550975	0.645076	26.9998	1772.1	-713.289	-980.645	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	73	175200
LS_Tempa_6562_D	0.2	0.557731	0.645076	26.7478	1769.46	-715.439	-975.548	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	74	175200
LS_Tempa_6562_D	0.4	0.571371	0.645076	26.3378	1764.04	-718.096	-966.922	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	75	175200
LS_Tempa_6562_D	0.8	0.596584	0.645076	25.7075	1752.23	-719.359	-953.128	0.495422	0.074396	0.0	0.280529	0.0	0.0	0.62	76	175200
