iteration.end	fileName.end	atEnd.end	density.thresholdGen.end	frequencies.thresholdGen.end	K_maxValue.end	coverage_maxValue.end	proportion_bounds_logP.end	q_bounds_logP.end	maxMortality.end	slope.end	resistanceGain.end	R.end	fitnessPenalty.end
64	scenarios.txt	FALSE	30	30	11304.9	0.293807	-2.95916	-5.79842	0.938993	9.35636	0.100117	6.7235	0.221832
65	scenarios.txt	FALSE	30	11	18460.4	0.671777	-5.92884	-4.80229	0.965539	7.71418	0.426527	10.0725	0.217457
66	scenarios.txt	FALSE	30	16	11697.6	0.538389	-2.66976	-4.11217	0.921939	7.94848	0.2761	49.3572	0.0780115
67	scenarios.txt	FALSE	30	30	18653.3	0.169809	-2.82102	-4.20027	0.963182	4.73838	0.378713	18.923	0.000526118
68	scenarios.txt	FALSE	30	17	18822.7	0.719884	-5.80015	-5.50545	0.974227	6.80515	0.242871	30.3442	0.254973
69	scenarios.txt	FALSE	16	12	14717.2	0.662693	-5.01171	-4.48101	0.935905	4.14814	0.611374	38.1807	0.00419899
70	scenarios.txt	FALSE	11	30	15146	0.529801	-4.72168	-4.39572	0.935628	1.03022	0.226433	49.8593	0.241895
71	scenarios.txt	FALSE	30	30	19437.9	0.893815	-2.32517	-5.23491	0.958148	9.48395	0.342236	4.23059	0.377599
72	scenarios.txt	FALSE	30	8	10304.9	0.859747	-3.82365	-5.55083	0.939262	9.54195	0.666166	35.8965	0.153178
73	scenarios.txt	FALSE	20	30	12812.3	0.168604	-2.3047	-5.14418	0.972226	9.90568	0.58024	35.3991	0.224788
74	scenarios.txt	FALSE	12	17	15366.9	0.797099	-5.24469	-5.14917	0.902627	3.8171	0.499761	41.9231	0.125435
75	scenarios.txt	FALSE	5	30	19376.4	0.1799	-2.2533	-5.34859	0.950193	1.53247	0.624052	17.7325	0.0226021
76	scenarios.txt	FALSE	30	9	10747.8	0.885542	-4.9728	-5.7819	0.978591	8.93264	0.89679	8.04646	0.129826
77	scenarios.txt	FALSE	30	11	19362.6	0.850125	-5.29548	-4.46607	0.902214	7.59067	0.604125	3.84641	0.00891825
78	scenarios.txt	FALSE	30	30	15159.2	0.154506	-4.05372	-4.25053	0.98927	3.02168	0.754812	11.3086	0.333648
79	scenarios.txt	FALSE	30	30	12333	0.204319	-5.81724	-5.3144	0.912796	2.99464	0.461018	20.4409	0.207133
80	scenarios.txt	FALSE	30	30	10062.2	0.534889	-5.59946	-4.57861	0.975839	4.42405	0.210373	29.8822	0.194687
81	scenarios.txt	FALSE	30	7	16522.4	0.87545	-4.99382	-4.95658	0.97592	9.42772	0.388858	43.6949	0.218515
82	scenarios.txt	FALSE	30	21	12842	0.278314	-3.19316	-5.02726	0.913491	8.47098	0.627563	12.5626	0.224926
83	scenarios.txt	FALSE	30	30	10805.3	0.147309	-4.37722	-5.82786	0.924247	5.15019	0.778562	20.3458	0.0587655
84	scenarios.txt	FALSE	30	30	13619.3	0.140438	-5.13153	-5.60686	0.907896	9.70422	0.225301	33.1921	0.29471
85	scenarios.txt	FALSE	30	17	10492.3	0.460681	-2.25987	-4.09761	0.989382	5.65318	0.47445	22.1837	0.058155
86	scenarios.txt	FALSE	20	30	12751.1	0.390418	-2.86003	-5.39753	0.926883	2.63508	0.729398	30.844	0.04392
87	scenarios.txt	FALSE	30	30	12713.7	0.129813	-3.02389	-5.5281	0.921167	9.74913	0.402143	25.8041	0.124355
88	scenarios.txt	FALSE	19	30	12602.4	0.732538	-3.35382	-4.55946	0.907049	3.14088	0.735588	42.5408	0.397322
89	scenarios.txt	FALSE	30	15	13236.9	0.580142	-4.26718	-4.05278	0.958895	4.78497	0.427864	14.7605	0.349582
90	scenarios.txt	FALSE	30	30	11866.4	0.355163	-2.77197	-4.87837	0.978074	6.46012	0.237541	5.80204	0.245806
91	scenarios.txt	FALSE	30	18	10571	0.439208	-4.96402	-5.0967	0.91796	9.0668	0.333158	23.7017	0.219909
92	scenarios.txt	FALSE	30	24	18544.4	0.289258	-3.23369	-4.14276	0.931518	6.06581	0.630972	2.15998	0.0562729
93	scenarios.txt	FALSE	30	17	14925.7	0.579193	-5.26383	-5.82527	0.983621	7.91318	0.293678	9.02587	0.145227
94	scenarios.txt	FALSE	30	15	14367.8	0.61297	-2.10328	-4.43192	0.96924	4.04344	0.515243	9.17152	0.109762
95	scenarios.txt	FALSE	30	24	12038.8	0.454582	-5.25095	-5.21136	0.93511	3.20184	0.814248	29.3263	0.0721809
96	scenarios.txt	FALSE	30	30	15051.1	0.112262	-4.22187	-4.48304	0.96891	5.30349	0.846981	35.4973	0.0709236
97	scenarios.txt	FALSE	30	9	13668.4	0.415153	-3.62943	-4.75411	0.959444	8.46282	0.61633	32.9224	0.286517
98	scenarios.txt	FALSE	30	15	15016.1	0.265551	-2.49995	-5.03482	0.974491	9.71672	0.688821	34.2356	0.374812
99	scenarios.txt	FALSE	30	12	14634.7	0.780032	-4.63024	-4.59681	0.960999	4.09382	0.663477	11.3174	0.160707
100	scenarios.txt	FALSE	30	12	11055.9	0.52091	-3.39358	-5.79272	0.935412	9.31981	0.57686	17.3306	0.392171
101	scenarios.txt	FALSE	30	22	10533.5	0.803168	-2.19679	-5.64321	0.918105	6.58962	0.42804	30.0562	0.246188
102	scenarios.txt	FALSE	30	30	19324.6	0.562672	-4.23307	-5.5598	0.983843	2.1617	0.319393	22.8595	0.189599
103	scenarios.txt	FALSE	18	30	15700.6	0.728069	-2.16795	-5.08857	0.96637	5.22531	0.266623	24.9345	0.157732
104	scenarios.txt	FALSE	30	22	11567.3	0.644667	-4.44677	-4.72083	0.965429	6.17245	0.216437	49.8083	0.198016
105	scenarios.txt	FALSE	30	10	17048	0.850512	-2.84384	-4.79561	0.94673	3.88744	0.840965	31.8974	0.1775
106	scenarios.txt	FALSE	30	30	19401.4	0.223016	-4.1692	-5.70694	0.927232	4.64665	0.648932	11.5247	0.0462199
107	scenarios.txt	FALSE	30	30	14611.5	0.267709	-5.95503	-4.31707	0.90562	5.17706	0.592483	12.0013	0.176829
108	scenarios.txt	FALSE	30	30	19915.5	0.615166	-5.50709	-5.85013	0.944561	2.43808	0.452426	2.34632	0.269517
109	scenarios.txt	FALSE	30	30	19729.5	0.721918	-2.69342	-4.17303	0.972414	1.74805	0.439751	2.2204	0.240699
