Date	Time	IndoorsTemperature	IndoorsRH	IndoorsCo2	OutdoorsTemperature	OutdoorsIrradiation	OutdoorsWindSpeed	GrowthLightIntensity	ScreenEffect1	ScreenEffect2	ScreenNetEffect1	ScreenNetEffect2	VentEffect1	VentEffect2
2/8/2019	7:21:57	21.5945415496826	67.5533218383789	457.038238525391	16.5288124084473	100.945648193359	0	0	0	0	0	0	0	10.0200004577637
2/8/2019	7:51:56	23.255184173584	66.151237487793	433.600372314453	17.9359970092773	161.361694335938	0	0	0	0	0	0	0	8.27999973297119
2/8/2019	8:21:56	23.6658134460449	64.943244934082	427.740905761719	17.7483711242676	126.119781494141	0	0	0	0	0	0	6.59999990463257	14.5799999237061
2/8/2019	8:51:56	24.6576766967773	57.6338272094727	394.048980712891	19.8122425079346	283.073883056641	1.5544753074646	0	0	0	0	0	24.4200000762939	32.4599990844727
2/8/2019	9:21:56	23.6353054046631	53.2705307006836	424.811157226562	19.4369926452637	211.496780395508	3.67515826225281	0	0	0	0	0	35.7599983215332	43.7400016784668
2/8/2019	9:51:57	24.8494529724121	51.531551361084	394.048980712891	21.5385303497314	453.734252929688	2.68783354759216	0	0	0.880210037231445	0	0.176042007446289	42.9599990844727	61.3199996948242
2/8/2019	10:21:56	24.4419803619385	47.7954635620117	410.162506103516	20.9536781311035	355.420196533203	2.70083713531494	0	0	0.176219997406006	0	0.0352439994812012	45	95.0400009155273
2/8/2019	10:51:56	25.6722755432129	41.300724029541	414.557098388672	21.8309555053711	318.577484130859	1.98698711395264	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	95.0400009155273
2/8/2019	11:21:56	25.8770141601562	41.1660537719727	386.724639892578	22.0259075164795	383.061431884766	3.610431432724	0	0.503740005493164	0.880210037231445	0.327431003570557	0.176042007446289	45	95.0400009155273
2/8/2019	11:51:56	28.7984237670898	37.6359405517578	391.119262695312	23.3905639648438	718.0048828125	4.43904399871826	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	95.0400009155273
2/8/2019	12:21:56	25.1040706634521	43.069507598877	411.627380371094	21.343578338623	226.522109985352	0.210904777050018	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	12:51:57	24.6781463623047	45.2153091430664	411.627380371094	21.7334804534912	225.962524414062	0.122074924409389	0	0	0	0	0	45	95.0400009155273
2/8/2019	13:21:57	25.5718727111816	46.1110420227051	411.627380371094	23.5855140686035	646.097595214844	4.47173404693604	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	13:51:57	25.7328262329102	44.9865875244141	405.767913818359	22.2208576202393	276.314147949219	5.5023627281189	0	0.133500003814697	0.880210037231445	0.0867750024795532	0.176042007446289	45	95.0400009155273
2/8/2019	14:21:57	24.7176876068115	49.7175483703613	402.838195800781	20.9536781311035	164.854125976562	4.84420204162598	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	14:51:57	24.0416259765625	54.6072235107422	420.416564941406	21.5385303497314	310.015258789062	3.79299283027649	0	0	0	0	0	45	95.0400009155273
2/8/2019	15:21:57	25.2751121520996	51.5907859802246	399.908447265625	21.7334804534912	380.172821044922	5.32180500030518	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	15:51:57	25.3382968902588	46.9389610290527	411.627380371094	22.4158096313477	220.272537231445	3.40428185462952	0	0	0	0	0	45	95.0400009155273
2/8/2019	16:21:57	29.1674880981445	39.6579627990723	408.697631835938	24.1703662872314	557.731384277344	3.19387555122375	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	95.0400009155273
2/8/2019	16:51:57	28.1817207336426	33.5808982849121	404.303070068359	24.3653163909912	375.511657714844	2.98951649665833	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	95.0400009155273
2/8/2019	17:21:57	25.9975395202637	45.2089157104492	418.951721191406	22.6107597351074	228.796829223633	2.5748405456543	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	17:51:57	25.7242088317871	44.4110717773438	388.189544677734	23.3905639648438	350.742736816406	0.0934516862034798	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	18:21:57	26.2575168609619	42.5278778076172	411.627380371094	23.3905639648438	279.376037597656	1.19069266319275	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	18:51:57	25.5242862701416	41.7795562744141	402.838195800781	22.5132846832275	102.100852966309	1.12149667739868	0	0	0.880210037231445	0	0.176042007446289	45	95.0400009155273
2/8/2019	19:21:57	25.0957851409912	44.4955711364746	411.627380371094	22.5132846832275	158.606323242188	2.60560369491577	0	0	0.880210037231445	0	0.176042007446289	19.8600006103516	27.8400001525879
2/8/2019	19:51:57	24.8135833740234	45.9489440917969	417.486846923828	22.1233825683594	108.840942382812	3.02945590019226	0	0	0.880210037231445	0	0.176042007446289	16.8600006103516	24.8400001525879
2/8/2019	20:21:57	23.8780345916748	52.0961723327637	429.205749511719	20.9536781311035	47.7534980773926	0.217766955494881	0	0	0	0	0	0	5.82000017166138
2/8/2019	20:51:57	23.3741588592529	60.2401962280273	430.670654296875	19.9998683929443	17.1770877838135	9.61474870564416e-06	0	0	0	0	0	0	0
2/8/2019	21:21:57	21.5370082855225	66.9906692504883	446.7841796875	18.4050579071045	0.147858858108521	5.01728436574922e-10	0	0	0	0	0	0	8.52000045776367
2/8/2019	21:51:57	21.0818729400635	68.7048873901367	451.178771972656	16.7164363861084	5.49314609088469e-06	1.87426690243268e-14	0	1	1	0.65	0.2	0	10.0200004577637
2/8/2019	22:21:57	20.3499965667725	70.6004104614258	461.432830810547	16.1535625457764	2.42531661420742e-10	5.39987739039353e-17	0	1	1	0.65	0.2	0	10.0200004577637
2/8/2019	22:51:57	19.9722595214844	70.9721145629883	457.038238525391	15.3098707199097	1.26560723774411e-14	0	0	1	1	0.65	0.2	0	10.0200004577637
2/8/2019	23:21:57	20.2242202758789	67.7966384887695	470.222045898438	14.6588668823242	5.79995719028909e-18	0	0	1	1	0.65	0.2	0	10.0200004577637
2/8/2019	23:51:57	20.3986072540283	65.5580215454102	487.800415039062	14.1938648223877	0	0	0	1	1	0.65	0.2	0	7.5
3/8/2019	0:21:57	20.5379028320312	64.3830795288086	477.546356201172	13.6358613967896	0	0	0	1	1	0.65	0.2	0	4.80000019073486
3/8/2019	0:51:57	20.5150890350342	63.9552192687988	484.870697021484	13.1708583831787	0	0	0	1	1	0.65	0.2	0	4.44000005722046
3/8/2019	1:21:57	20.5696620941162	63.4238815307617	506.843658447266	13.4498596191406	0	0	0	1	1	0.65	0.2	0	3.1800000667572
3/8/2019	1:51:57	21.0511436462402	62.3034820556641	490.730133056641	13.0778579711914	0	0	0	1	1	0.65	0.2	0	0.540000021457672
3/8/2019	2:21:57	20.7040481567383	63.6037254333496	503.913940429688	12.7988567352295	0	0	0	1	1	0.65	0.2	0	3.1800000667572
3/8/2019	2:51:57	20.4575023651123	63.7123489379883	498.054504394531	12.426854133606	0	0	0	1	1	0.65	0.2	0	4.1399998664856
3/8/2019	3:21:57	20.3985786437988	63.5719184875488	511.238250732422	12.3338537216187	0	0	0	1	1	0.65	0.2	0	3.24000000953674
3/8/2019	3:51:57	20.7646942138672	62.3908462524414	503.913940429688	12.2408533096313	0	0	0	1	1	0.65	0.2	0	1.01999998092651
3/8/2019	4:21:57	20.9275283813477	62.2176094055176	518.562561035156	12.0548515319824	0	0	0	1	1	0.65	0.2	0	0
3/8/2019	4:51:57	20.9804019927979	62.1180152893066	517.097717285156	11.7650423049927	0	0	0	1	1	0.65	0.2	0	0
3/8/2019	5:21:57	20.9125328063965	62.590160369873	520.027465820312	11.4797973632812	0	0	0	1	1	0.65	0.2	0	0.899999976158142
3/8/2019	5:51:57	20.7862815856934	63.0743370056152	552.254516601562	11.6699600219727	6.96458082529716e-05	0	0	1	1	0.65	0.2	0	1.5
3/8/2019	6:21:57	18.9589729309082	65.5203094482422	550.789672851562	12.0548515319824	15.6025314331055	0	0	0	0	0	0	0	5.40000009536743
3/8/2019	6:51:57	19.3377628326416	66.5378189086914	518.562561035156	13.1708583831787	58.067008972168	0	0	0	0	0	0	0	8.76000022888184
3/8/2019	7:21:57	21.1439437866211	65.1661834716797	503.913940429688	16.6226234436035	106.050773620605	0	0	0	0	0	0	0	7.26000022888184
3/8/2019	7:51:57	23.7083892822266	63.0057525634766	483.405792236328	18.1236209869385	166.017013549805	0	0	0	0	0	0	0	3.24000000953674
3/8/2019	8:21:57	24.2269725799561	61.5481414794922	436.530090332031	20.3751163482666	229.835006713867	0	0	0	0	0	0	21.8999996185303	27.2399997711182
3/8/2019	8:51:57	24.287130355835	58.2768936157227	411.627380371094	22.1233825683594	296.800201416016	0	0	0	0	0	0	34.9799995422363	40.6199989318848
3/8/2019	9:21:57	24.1888256072998	56.7558174133301	421.881439208984	24.0728912353516	363.378265380859	0.174593895673752	0	0	0.880210037231445	0	0.176042007446289	45	55.5
3/8/2019	9:51:57	25.9205589294434	47.6398086547852	407.232788085938	24.2678413391113	435.639923095703	0.53925621509552	0	0	0.880210037231445	0	0.176042007446289	45	94.8600006103516
3/8/2019	10:21:57	26.6527900695801	41.8095512390137	413.092224121094	24.9501686096191	567.081115722656	0.153800219297409	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	10:51:57	27.3224964141846	34.6143455505371	417.486846923828	26.8022022247314	581.602111816406	0.287831991910934	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	11:21:57	28.502082824707	30.934009552002	385.259765625	26.5097751617432	613.396423339844	2.06335544586182	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	11:51:57	27.5949192047119	33.4249038696289	389.654388427734	26.5097751617432	596.7939453125	2.85761642456055	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	12:21:57	29.5697803497314	31.4056091308594	402.838195800781	25.9249229431152	701.897338867188	3.49460673332214	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	12:51:57	29.7583351135254	28.4759387969971	407.232788085938	27.5820045471191	693.881591796875	3.46857476234436	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	13:21:57	29.8767738342285	29.3743724822998	388.189544677734	28.4592838287354	770.885681152344	0.809376418590546	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
3/8/2019	13:51:57	28.2442302703857	31.6081008911133	401.373291015625	25.7299728393555	491.463012695312	5.07672214508057	0	0.599860000610352	0.880210037231445	0.389909000396728	0.176042007446289	45	94.8600006103516
