minute	indoorsCo2	indoorsRh	indoorsTemperature	growthLight	heating	photosynthesis
703	646.717	73.7935	19.0714	0	84.5368	0.0612965
704	648.169	73.794	19.073	0	84.533	0.0610526
705	649.578	73.7945	19.0746	0	84.5292	0.0608079
706	650.943	73.7951	19.0763	0	84.5254	0.0605623
707	643.271	73.7956	19.0779	0	84.5216	0.0601787
708	644.823	73.7962	19.0795	0	84.5178	0.0599367
709	646.328	73.7969	19.0811	0	84.514	0.0596937
710	647.787	73.7975	19.0827	0	84.5102	0.0594499
711	649.201	73.7982	19.0843	0	84.5064	0.0592051
712	650.572	73.7988	19.0859	0	84.5026	0.0589595
713	642.906	73.7995	19.0875	0	84.4988	0.0585796
714	644.463	73.8002	19.0891	0	84.4949	0.0583375
715	645.973	73.801	19.0908	0	84.4911	0.0580945
716	647.437	73.8017	19.0924	0	84.4873	0.0578506
717	648.857	73.8025	19.094	0	84.4835	0.0576058
718	650.232	73.8033	19.0956	0	84.4797	0.0573602
719	642.571	73.8041	19.0972	0	84.4758	0.0569841
720	644.133	73.8049	19.0989	0	84.472	0.056742
721	645.648	73.8057	19.1005	0	84.4681	0.0564989
722	647.123	73.8043	19.1026	0	84.4642	0.0567891
723	648.558	73.8003	19.1054	0	84.4592	0.0570787
724	649.954	73.7939	19.1087	0	84.4527	0.0573675
725	651.313	73.7856	19.1125	0	84.4448	0.0576555
726	643.641	73.7758	19.1166	0	84.4359	0.057811
727	645.197	73.7645	19.121	0	84.4261	0.0581008
728	646.711	73.7522	19.1257	0	84.4157	0.0583897
729	648.184	73.7388	19.1307	0	84.4045	0.058678
730	649.618	73.7247	19.1359	0	84.3928	0.0589654
731	651.013	73.7098	19.1412	0	84.3806	0.0592521
732	643.375	73.6943	19.1467	0	84.3679	0.0594025
733	644.964	73.6783	19.1523	0	84.355	0.0596917
734	646.511	73.662	19.158	0	84.3417	0.05998
735	648.016	73.6452	19.1638	0	84.3281	0.0602676
736	649.481	73.6281	19.1697	0	84.3144	0.0605544
737	650.906	73.6108	19.1757	0	84.3005	0.0608404
738	643.297	73.5933	19.1817	0	84.2864	0.060986
739	644.914	73.5756	19.1878	0	84.2722	0.0612746
740	646.488	73.5578	19.1939	0	84.2578	0.0615623
741	648.019	73.5398	19.2	0	84.2433	0.0618492
742	649.51	73.5218	19.2062	0	84.2287	0.0621354
743	650.96	73.5036	19.2125	0	84.214	0.0624207
744	643.376	73.4855	19.2187	0	84.1993	0.0625617
745	645.016	73.4672	19.225	0	84.1846	0.0628496
746	646.613	73.449	19.2313	0	84.1697	0.0631368
747	648.166	73.4307	19.2376	0	84.1549	0.063423
748	649.678	73.4124	19.2439	0	84.1399	0.0637084
749	651.15	73.3942	19.2502	0	84.125	0.063993
750	643.586	73.3759	19.2566	0	84.11	0.0641293
751	645.245	73.3576	19.2629	0	84.095	0.0644166
752	646.861	73.3393	19.2693	0	84.08	0.0647023
753	648.433	73.3211	19.2757	0	84.0649	0.0649846
754	649.963	73.3028	19.2821	0	84.0498	0.065266
755	651.453	73.2846	19.2884	0	84.0347	0.0655464
756	643.906	73.2664	19.2948	0	84.0196	0.0656746
757	645.582	73.2483	19.3012	0	84.0044	0.0659577
758	647.213	73.2302	19.3077	0	83.9893	0.0662398
759	648.801	73.2121	19.3141	0	83.9742	0.0665209
760	650.347	73.194	19.3205	0	83.9589	0.066801
761	642.853	73.1759	19.3269	0	83.9438	0.066925
762	644.581	73.1579	19.3334	0	83.9286	0.0672078
763	646.263	73.14	19.3398	0	83.9134	0.0674895
764	647.901	73.122	19.3462	0	83.8982	0.0677702
765	649.495	73.1041	19.3527	0	83.8829	0.0680499
766	651.046	73.0862	19.3591	0	83.8677	0.0683286
767	643.558	73.0684	19.3656	0	83.8524	0.0684475
768	645.292	73.0506	19.372	0	83.8372	0.0687289
769	646.979	73.0328	19.3785	0	83.8219	0.0690093
770	648.621	73.0151	19.385	0	83.8067	0.0692886
771	650.221	72.9974	19.3914	0	83.7914	0.0695669
772	642.778	72.9797	19.3979	0	83.7761	0.0696817
773	644.556	72.9621	19.4044	0	83.7607	0.0699627
