Date	GlobRad	Tmin	Tmax	VP	WindSpeed	Rain	AvgPar30
25/06/2013	12.82	22.09	27.44	0.473509666	1.71	2.23	8.06825
26/06/2013	23.76	21.27	29.95	0.778313176	1.39	0.77	8.14591666666667
27/06/2013	22.29	22.68	30.63	0.919027858	1.36	2.81	8.17025
28/06/2013	19.71	22.19	29.83	0.692399937	1.15	17.53	8.17358333333333
29/06/2013	18.68	22.22	27.89	0.483111893	0.51	10.14	8.19858333333333
30/06/2013	20.18	22.21	28.81	0.553148861	0.61	8.15	8.21625
01/07/2013	12.19	22.34	27.15	0.379687613	0.66	17.16	8.10558333333333
02/07/2013	20.08	22.45	28.26	0.443804179	0.84	16.03	8.13875
03/07/2013	17.77	22.41	27.06	0.302652019	0.91	6.1	8.13758333333333
04/07/2013	19.77	21.77	29.49	0.595868728	1.13	3.97	8.07758333333333
05/07/2013	16.26	21.16	26.58	0.373441079	1.33	0.87	8.03025
06/07/2013	16.72	20.87	28.48	0.514723552	1.52	4.33	7.97591666666667
07/07/2013	22.08	21.09	29.31	0.773805133	1.45	0.13	8.07758333333333
08/07/2013	21.23	21.21	29.56	0.719747404	1.44	1.34	8.06975
09/07/2013	15.99	22.24	28.54	0.403554026	1.71	5.94	8.10041666666667
10/07/2013	18.01	22.79	28.07	0.446887333	1.41	2.47	8.34658333333333
11/07/2013	12.91	22.36	26.73	0.322077927	1.1	7.62	8.40875
12/07/2013	12.73	21.62	27.76	0.417297523	0.83	8.1	8.34258333333333
13/07/2013	16.71	22.06	28.8	0.580905252	0.9	2.64	8.51541666666667
14/07/2013	20.84	22.2	28.78	0.59879748	1.41	0.76	8.64825
15/07/2013	18.76	21.22	29.67	0.791674996	1.57	0.01	8.65341666666667
16/07/2013	19.27	20.88	30.25	0.851132958	1.48	0.82	8.71775
17/07/2013	9	22.55	28.07	0.37790218	1.56	6.09	8.57916666666667
18/07/2013	10.725	22.7	28.22	0.417155448	1.49	3.13	8.43758333333333
19/07/2013	12.45	22.8	27.6	0.445503794	1.51	2.11	8.36641666666667
20/07/2013	8.68	22.59	27.26	0.408172476	1.44	2.4	8.30358333333333
21/07/2013	3.52	22.7	26.67	0.360756002	1.86	1.78	8.17591666666667
22/07/2013	20.58	21.97	27.02	0.469134322	1.7	0.99	8.26775
23/07/2013	6.74	22.3	28.05	0.487634684	1.69	1.63	8.07325
24/07/2013	20.52	22.56	28.98	0.559413374	1.81	2.71	8.18291666666667
25/07/2013	13.27	22.49	28.54	0.547290933	2.01	2.04	8.19041666666667
26/07/2013	18.28	22.98	28.65	0.715833229	1.92	0.35	8.09908333333333
27/07/2013	20.12	22.05	29.7	0.860933348	1.68	0.01	8.06291666666667
28/07/2013	9.06	22.22	28.89	0.740158275	1.71	1.73	7.88541666666667
29/07/2013	8.15	22.62	27.1	0.343118561	1.67	3.16	7.70991666666667
30/07/2013	18.33	22.47	28.92	0.674148148	1.69	0.19	7.67908333333333
31/07/2013	12.69	22.19	29.46	0.759982359	1.43	0.27	7.68741666666667
01/08/2013	20.27	21.48	28.88	0.687686973	1.65	0.22	7.69058333333333
02/08/2013	7.63	21.83	28.31	0.616906733	1.71	1.04	7.52158333333333
03/08/2013	12.51	22.28	27.53	0.513103478	1.81	1.02	7.40058333333333
04/08/2013	4.83	21.35	27.37	0.44355705	1.79	1.4	7.21008333333333
05/08/2013	6.68	21.28	27.48	0.449715473	1.71	0.5	7.04275
06/08/2013	20.42	22.77	29.92	0.883270581	1.82	0.37	7.01508333333333
07/08/2013	22.25	21.94	31	1.012650005	1.55	0	7.03208333333333
08/08/2013	21.56	21.33	31.23	1.085535347	1.15	0.07	7.12491666666667
09/08/2013	20.9	21.2	30.85	1.026721882	1.07	1.64	7.17308333333333
10/08/2013	14.26	21.57	29.07	0.632621178	1.19	5.17	7.19558333333333
11/08/2013	14.3	21.92	27.69	0.467870619	1.18	5.45	7.22175
12/08/2013	13.66	21.07	27.27	0.461588231	1.35	9.92	7.17091666666667
13/08/2013	17.97	20.21	28.75	0.698699162	1.4	5.24	7.12308333333333
14/08/2013	16.12	20.76	29.01	0.557982449	0.99	7.7	7.07908333333333
15/08/2013	16.79	22.68	28	0.362775537	1.12	8.23	7.03775
16/08/2013	14.07	22.4	27.97	0.294311302	1.19	25.25	7.12225
17/08/2013	17.91	22.88	28.37	0.526490419	1.46	1.64	7.242
18/08/2013	17.48	22.29	28.82	0.618792661	0.95	0.42	7.32583333333333
19/08/2013	21.26	21.96	29.76	0.663708203	1.23	0.7	7.5355
20/08/2013	20.28	22.73	28.88	0.650740186	1.26	0.14	7.81483333333333
21/08/2013	11.89	21.96	27.81	0.612280533	1.45	0.84	7.67
22/08/2013	18.6	20.61	28.3	0.581207366	1.35	6.09	7.86766666666667
23/08/2013	13.5	22.16	25.83	0.167834151	1.26	16.31	7.75066666666667
24/08/2013	15.32	21.14	27.66	0.381931641	1.05	19.22	7.78483333333333
25/08/2013	19.12	21.96	28.36	0.404372052	1.4	7.23	7.79883333333333
26/08/2013	15.67	20.91	28.1	0.520191121	1.5	0.33	7.72466666666667
27/08/2013	13.28	21.81	27.28	0.357614613	1.3	3.92	7.795
28/08/2013	15.52	21.16	25.72	0.367498259	1.24	3.38	7.91783333333333
29/08/2013	13.65	20.97	27.36	0.405840971	1.14	1.79	7.83983333333333
30/08/2013	16.64	22.12	27.41	0.329708668	0.93	7.39	7.90566666666667
31/08/2013	22.24	21.95	27.95	0.382799148	0.77	11.15	7.9385
01/09/2013	19.38	21.85	28.55	0.453676982	0.93	7.03	8.13433333333333
02/09/2013	18.51	21.66	28.48	0.50851271	0.55	7.4	8.23433333333333
03/09/2013	21.09	21.36	28.68	0.59259113	0.56	10.61	8.50533333333333
04/09/2013	20.53	22.2	27.55	0.31550289	0.98	17.45	8.73616666666667
05/09/2013	23.35	21.48	28.88	0.472759964	0.96	13.51	8.785
06/09/2013	21.12	22.4	28.03	0.350552339	0.7	8.97	8.76616666666667
07/09/2013	18	22	27.97	0.3666644	0.59	11.31	8.70683333333333
08/09/2013	19.7	22.33	27.97	0.394173651	0.6	14.99	8.68683333333333
09/09/2013	16.29	21.56	29.02	0.485012415	0.71	1.19	8.72066666666667
10/09/2013	20.44	22.18	28.33	0.341328552	0.98	5.5	8.823
11/09/2013	18.38	22.19	27.64	0.372244537	0.65	19.26	8.90166666666667
12/09/2013	17.35	22.09	27.13	0.314660332	0.68	13.36	8.89133333333333
13/09/2013	19.66	21.62	28.85	0.467577757	0.66	12.19	8.95033333333333
14/09/2013	13.77	22.17	27.06	0.241192577	0.79	21.35	8.9
15/09/2013	16.5	22.25	28.88	0.453690655	0.53	8.1	8.9405
16/09/2013	17.69	22.18	27.48	0.26953631	0.89	5.13	8.93683333333333
17/09/2013	16.55	22.6	28.11	0.370424459	0.62	5.26	8.92133333333333
18/09/2013	16.82	21.75	27.99	0.358037023	0.53	12.09	8.84733333333333
19/09/2013	10.75	22.05	28.08	0.377363637	0.48	17.63	8.6885
20/09/2013	16.45	22.53	27.97	0.365157044	0.68	5.07	8.7645
21/09/2013	19.43	22.63	28.36	0.406299469	0.58	11.25	8.77833333333333
22/09/2013	12.95	23.06	27.66	0.358986136	0.59	16.84	8.76916666666667
